"","pokemon","id","first_type","second_type","base_HP","base_Attack","base_Defense","base_SpecialAttack","base_SpecialDefense","base_Speed","first_ability","second_ability","third_ability","description","gender_differences","gender_rate","is_baby","evolves_from_species_id","hatch_counter","forms_switchable"
"55","beedrill",15,"bug","poison",65,90,40,45,80,75,"swarm","sniper","","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",0,4,0,14,15,1
"521","pidgey",16,"normal","flying",40,45,40,35,35,56,"keen-eye","tangled-feet","big-pecks","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",0,4,0,NA,15,0
"520","pidgeotto",17,"normal","flying",63,60,55,50,50,71,"keen-eye","tangled-feet","big-pecks","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",0,4,0,16,15,0
"518","pidgeot",18,"normal","flying",83,80,75,70,70,101,"keen-eye","tangled-feet","big-pecks","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",0,4,0,17,15,1
"568","rattata",19,"normal","None",30,56,35,25,35,72,"run-away","guts","hustle","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",1,4,0,NA,15,0
"567","raticate",20,"normal","None",55,81,60,50,70,97,"run-away","guts","hustle","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",1,4,0,19,15,0
"669","spearow",21,"normal","flying",40,60,30,31,31,70,"keen-eye","sniper","","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",0,4,0,NA,15,0
"216","fearow",22,"normal","flying",65,90,65,61,61,100,"keen-eye","sniper","","Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.",0,4,0,21,15,0
"197","ekans",23,"poison","None",35,60,44,40,54,55,"intimidate","shed-skin","unnerve","Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.",0,4,0,NA,20,0
"25","arbok",24,"poison","None",60,85,69,65,79,80,"intimidate","shed-skin","unnerve","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",0,4,0,23,20,0
"524","pikachu",25,"electric","None",35,55,40,50,50,90,"static","lightning-rod","","This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.",1,4,0,172,10,0
"562","raichu",26,"electric","None",60,90,55,90,80,110,"static","lightning-rod","","This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.",1,4,0,25,10,0
"599","sandshrew",27,"ground","None",50,75,85,20,30,40,"sand-veil","sand-rush","","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",0,4,0,NA,20,0
"600","sandslash",28,"ground","None",75,100,110,45,55,65,"sand-veil","sand-rush","","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",0,4,0,27,20,0
"480","nidoran-f",29,"poison","None",55,47,52,40,40,41,"poison-point","rivalry","hustle","Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.",0,8,0,NA,20,0
"482","nidorina",30,"poison","None",70,62,67,55,55,56,"poison-point","rivalry","hustle","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",0,8,0,29,20,0
"479","nidoqueen",31,"poison","ground",90,92,87,75,85,76,"poison-point","rivalry","sheer-force","Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.",0,8,0,30,20,0
"481","nidoran-m",32,"poison","None",46,57,40,40,40,50,"poison-point","rivalry","hustle","Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.",0,0,0,NA,20,0
"483","nidorino",33,"poison","None",61,72,57,55,55,65,"poison-point","rivalry","hustle","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",0,0,0,32,20,0
"478","nidoking",34,"poison","ground",81,102,77,85,75,85,"poison-point","rivalry","sheer-force","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",0,0,0,33,20,0
"125","clefairy",35,"fairy","None",70,45,48,60,65,35,"cute-charm","magic-guard","friend-guard","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",0,6,0,173,10,0
"124","clefable",36,"fairy","None",95,70,73,95,90,60,"cute-charm","magic-guard","unaware","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",0,6,0,35,10,0
"772","vulpix",37,"fire","None",38,41,40,50,65,65,"flash-fire","drought","","Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",0,6,0,NA,20,0
"485","ninetales",38,"fire","None",73,76,75,81,100,100,"flash-fire","drought","","Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.",0,6,0,37,20,0
"337","jigglypuff",39,"normal","fairy",115,45,20,45,25,20,"cute-charm","competitive","friend-guard","When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",0,6,0,174,10,0
"786","wigglytuff",40,"normal","fairy",140,70,45,85,50,45,"cute-charm","competitive","frisk","Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",0,6,0,39,10,0
"809","zubat",41,"poison","flying",40,45,35,30,40,55,"inner-focus","infiltrator","","Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",1,4,0,NA,15,0
"270","golbat",42,"poison","flying",75,80,70,65,75,90,"inner-focus","infiltrator","","Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",1,4,0,41,15,0
"494","oddish",43,"grass","poison",45,50,55,75,65,30,"chlorophyll","run-away","","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",0,4,0,NA,20,0
"268","gloom",44,"grass","poison",60,65,70,85,75,40,"chlorophyll","stench","","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",1,4,0,43,20,0
"764","vileplume",45,"grass","poison",75,80,85,110,90,50,"chlorophyll","effect-spore","","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",1,4,0,44,20,0
"507","paras",46,"bug","grass",35,70,55,45,55,25,"effect-spore","dry-skin","damp","Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.",0,4,0,NA,20,0
"508","parasect",47,"bug","grass",60,95,80,60,80,30,"effect-spore","dry-skin","damp","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",0,4,0,46,20,0
"756","venonat",48,"bug","poison",60,55,50,40,55,45,"compound-eyes","tinted-lens","run-away","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",0,4,0,NA,20,0
"755","venomoth",49,"bug","poison",70,65,60,90,75,90,"shield-dust","tinted-lens","wonder-skin","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",0,4,0,48,20,0
"168","diglett",50,"ground","None",10,55,25,35,45,95,"sand-veil","arena-trap","sand-force","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",0,4,0,NA,20,0
"185","dugtrio",51,"ground","None",35,80,50,50,70,120,"sand-veil","arena-trap","sand-force","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",0,4,0,50,20,0
"447","meowth",52,"normal","None",40,45,35,40,40,90,"pickup","technician","unnerve","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",0,4,0,NA,20,0
"512","persian",53,"normal","None",65,70,60,65,65,115,"limber","technician","unnerve","Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.",0,4,0,52,20,0
"549","psyduck",54,"water","None",50,52,48,65,50,55,"damp","cloud-nine","swift-swim","If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",0,4,0,NA,20,0
"272","golduck",55,"water","None",80,82,78,95,80,85,"damp","cloud-nine","swift-swim","Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",0,4,0,54,20,0
"428","mankey",56,"fighting","None",40,80,35,35,45,70,"vital-spirit","anger-point","defiant","When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",0,4,0,NA,20,0
"546","primeape",57,"fighting","None",65,105,60,60,70,95,"vital-spirit","anger-point","defiant","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",0,4,0,56,20,0
"294","growlithe",58,"fire","None",55,70,45,70,50,60,"intimidate","flash-fire","justified","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",0,2,0,NA,20,0
"26","arcanine",59,"fire","None",90,110,80,100,80,95,"intimidate","flash-fire","justified","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",0,2,0,58,20,0
"538","poliwag",60,"water","None",40,50,40,40,40,90,"water-absorb","damp","swift-swim","Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",0,4,0,NA,20,0
"539","poliwhirl",61,"water","None",65,65,65,50,50,90,"water-absorb","damp","swift-swim","The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",0,4,0,60,20,0
"540","poliwrath",62,"water","fighting",90,95,95,70,90,70,"water-absorb","damp","swift-swim","Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",0,4,0,61,20,0
"3","abra",63,"psychic","None",25,20,15,105,55,90,"synchronize","inner-focus","magic-guard","Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",0,2,0,NA,20,0
"345","kadabra",64,"psychic","None",40,35,30,120,70,105,"synchronize","inner-focus","magic-guard","Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",1,2,0,63,20,0
"14","alakazam",65,"psychic","None",55,50,45,135,95,120,"synchronize","inner-focus","magic-guard","Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",1,2,0,64,20,1
"412","machop",66,"fighting","None",70,80,50,35,35,35,"guts","no-guard","steadfast","Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.",0,2,0,NA,20,0
"411","machoke",67,"fighting","None",80,100,70,50,60,45,"guts","no-guard","steadfast","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",0,2,0,66,20,0
"410","machamp",68,"fighting","None",90,130,80,65,85,55,"guts","no-guard","steadfast","Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",0,2,0,67,20,0
"60","bellsprout",69,"grass","poison",50,75,35,70,30,40,"chlorophyll","gluttony","","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",0,4,0,NA,20,0
"780","weepinbell",70,"grass","poison",65,90,50,85,45,55,"chlorophyll","gluttony","","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",0,4,0,69,20,0
"762","victreebel",71,"grass","poison",80,105,65,100,70,70,"chlorophyll","gluttony","","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",0,4,0,70,20,0
"711","tentacool",72,"water","poison",40,40,35,50,100,70,"clear-body","liquid-ooze","rain-dish","Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.",0,4,0,NA,20,0
"712","tentacruel",73,"water","poison",80,70,65,80,120,100,"clear-body","liquid-ooze","rain-dish","Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.",0,4,0,72,20,0
"256","geodude",74,"rock","ground",40,80,100,30,30,20,"rock-head","sturdy","sand-veil","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",0,4,0,NA,15,0
"287","graveler",75,"rock","ground",55,95,115,45,45,35,"rock-head","sturdy","sand-veil","Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",0,4,0,74,15,0
"273","golem",76,"rock","ground",80,120,130,55,65,45,"rock-head","sturdy","sand-veil","Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",0,4,0,75,15,0
"541","ponyta",77,"fire","None",50,85,55,65,65,90,"run-away","flash-fire","flame-body","Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.",0,4,0,NA,20,0
"566","rapidash",78,"fire","None",65,100,70,80,80,105,"run-away","flash-fire","flame-body","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",0,4,0,77,20,0
"656","slowpoke",79,"water","psychic",90,65,65,40,40,15,"oblivious","own-tempo","regenerator","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",0,4,0,NA,20,0
"653","slowbro",80,"water","psychic",95,75,110,100,80,30,"oblivious","own-tempo","regenerator","Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",0,4,0,79,20,1
"418","magnemite",81,"electric","steel",25,35,70,95,55,45,"magnet-pull","sturdy","analytic","Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.",0,-1,0,NA,20,0
"419","magneton",82,"electric","steel",50,60,95,120,70,70,"magnet-pull","sturdy","analytic","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",0,-1,0,81,20,0
"215","farfetchd",83,"normal","flying",52,65,55,58,62,60,"keen-eye","inner-focus","defiant","Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",0,4,0,NA,20,0
"171","doduo",84,"normal","flying",35,85,45,35,35,75,"run-away","early-bird","tangled-feet","Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",1,4,0,NA,20,0
"170","dodrio",85,"normal","flying",60,110,70,60,60,100,"run-away","early-bird","tangled-feet","Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",1,4,0,84,20,0
"616","seel",86,"water","None",65,45,55,45,70,45,"thick-fat","hydration","ice-body","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",0,4,0,NA,20,0
"162","dewgong",87,"water","ice",90,70,80,70,95,70,"thick-fat","hydration","ice-body","Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.",0,4,0,86,20,0
"289","grimer",88,"poison","None",80,80,50,40,50,25,"stench","sticky-hold","poison-touch","Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.",0,4,0,NA,20,0
"472","muk",89,"poison","None",105,105,75,65,100,50,"stench","sticky-hold","poison-touch","This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",0,4,0,88,20,0
"629","shellder",90,"water","None",30,65,100,45,25,40,"shell-armor","skill-link","overcoat","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",0,4,0,NA,20,0
"127","cloyster",91,"water","ice",50,95,180,85,45,70,"shell-armor","skill-link","overcoat","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",0,4,0,90,20,0
"251","gastly",92,"ghost","poison",30,35,30,100,35,80,"levitate","","","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",0,4,0,NA,20,0
"302","haunter",93,"ghost","poison",45,50,45,115,55,95,"levitate","","","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",0,4,0,92,20,0
"254","gengar",94,"ghost","poison",60,65,60,130,75,110,"levitate","","","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",0,4,0,93,20,1
"497","onix",95,"rock","ground",35,45,160,30,45,70,"rock-head","sturdy","weak-armor","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",0,4,0,NA,25,0
"182","drowzee",96,"psychic","None",60,48,45,43,90,42,"insomnia","forewarn","inner-focus","If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",0,4,0,NA,20,0
"330","hypno",97,"psychic","None",85,73,70,73,115,67,"insomnia","forewarn","inner-focus","Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",1,4,0,96,20,0
"361","krabby",98,"water","None",30,105,90,25,25,50,"hyper-cutter","shell-armor","sheer-force","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",0,4,0,NA,20,0
"354","kingler",99,"water","None",55,130,115,50,50,75,"hyper-cutter","shell-armor","sheer-force","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",0,4,0,98,20,0
"770","voltorb",100,"electric","None",40,30,50,55,55,100,"soundproof","static","aftermath","Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.",0,-1,0,NA,20,0
"201","electrode",101,"electric","None",60,50,70,80,80,140,"soundproof","static","aftermath","One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.",0,-1,0,100,20,0
"212","exeggcute",102,"grass","psychic",60,40,80,60,45,40,"chlorophyll","harvest","","This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",0,4,0,NA,20,0
"213","exeggutor",103,"grass","psychic",95,95,85,125,65,55,"chlorophyll","harvest","","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",0,4,0,102,20,0
"146","cubone",104,"ground","None",50,50,95,40,50,35,"rock-head","lightning-rod","battle-armor","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",0,4,0,NA,20,0
"434","marowak",105,"ground","None",60,80,110,50,80,45,"rock-head","lightning-rod","battle-armor","Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.",0,4,0,104,20,0
"315","hitmonlee",106,"fighting","None",50,120,53,35,110,87,"limber","reckless","unburden","Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",0,0,0,236,25,0
"314","hitmonchan",107,"fighting","None",50,105,79,35,110,76,"keen-eye","iron-fist","inner-focus","Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.",0,0,0,236,25,0
"388","lickitung",108,"normal","None",90,55,75,60,75,30,"own-tempo","oblivious","cloud-nine","Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",0,4,0,NA,20,0
"360","koffing",109,"poison","None",40,65,95,60,45,35,"levitate","","","Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",0,4,0,NA,20,0
"781","weezing",110,"poison","None",65,90,120,85,70,60,"levitate","","","Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",0,4,0,109,20,0
"580","rhyhorn",111,"ground","rock",80,85,95,30,30,25,"lightning-rod","rock-head","reckless","Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",1,4,0,NA,20,0
"579","rhydon",112,"ground","rock",105,130,120,45,45,40,"lightning-rod","rock-head","reckless","Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",1,4,0,111,20,0
"103","chansey",113,"normal","None",250,5,5,35,105,50,"natural-cure","serene-grace","healer","Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",0,8,0,440,40,0
